original_filename,new_filename,status
bjorliski2.jpg,bjorli-winter-ski-action-orange-carving-hero-candidate.jpg,OK
bjorli2.jpg,bjorli-winter-ski-action-orange-closeup-hero-candidate.jpg,OK
473749706_18164164177322473_3821142982926944925_n.jpg,bjorli-winter-base-area-chairlift-LOGO-crop-logo-before-use.jpg,OK
473116316_18164164219322473_1163829838993248075_n.jpg,bjorli-winter-base-station-lift-and-slope-LOGO-crop-logo-before-use.jpg,OK
IMG_9860-scaled.jpeg,bjorli-winter-mountain-view-skiers-and-nordloypa-sign.jpg,OK
IMG_6726-1-scaled.jpeg,bjorli-winter-heiskroa-afterski-base-area.jpg,OK
bjorliskiltet.png,bjorli-winter-destination-sign-mountain-view.jpg,OK
stolheis.jpg,bjorli-winter-chairlift-view-snowy-mountains.jpg,OK
heisomr.jpg,bjorli-winter-lift-area-overview-family-slopes.jpg,OK
fjellheis.jpg,bjorli-winter-fjellheis-mountain-lift-open-landscape.jpg,OK
bunnstasjon.jpg,bjorli-winter-bottom-station-lift-queue-area.jpg,OK
park.jpg,bjorli-winter-snowpark-rail-and-jump-area.jpg,OK
stolheis3.jpg,bjorli-winter-chairlift-slope-overview.jpg,OK
riller.jpg,bjorli-winter-groomed-corduroy-snow-detail.jpg,OK
Screenshot-2024-11-24-085704-1.png,bjorli-winter-slope-map-screenshot-reference.png,OK
bassen.jpg,bjorli-summer-bassen-water-activity-area.jpg,OK
Bjorli_ce4a3b58cb-1.avif,bjorli-winter-destination-image-avif-MISSING-download-failed.avif,MISSING - download failed
